"group","month_yr","n"
"pericarditis","2020-11",1
"pericarditis","2020-12",3
"pericarditis","2021-01",6
"pericarditis","2021-02",5
"pericarditis","2021-03",4
"pericarditis","2021-04",6
"pericarditis","2021-05",4
"pericarditis","2021-06",3
"pericarditis","2021-07",3
"pericarditis","2021-08",5
"pericarditis","2021-09",3
"pericarditis","2021-10",7
"pericarditis","2021-11",5
"pericarditis","2021-12",3
"pericarditis","2022-01",4
"pericarditis","2022-02",3
"pericarditis","2022-03",8
"pericarditis","2022-04",5
"pericarditis","2022-06",5
"pericarditis","2022-07",5
"pericarditis","2022-08",8
"pericarditis","2022-09",6
"pericarditis","2022-10",11
"pericarditis","2022-11",3
"pericarditis","2022-12",3
"pericarditis","2023-01",5
"pericarditis","2023-02",5
"pericarditis","2023-03",4
"pericarditis","2023-04",4
"pericarditis","2023-05",3
