icd_codes,description,group
C416,,cancer
C417,,cancer
C418,,cancer
C419,,cancer
C420,,cancer
C421,,cancer
C422,,cancer
C423,,cancer
C424,,cancer
C425,,cancer
C426,,cancer
C427,,cancer
C428,,cancer
C429,,cancer
C430,,cancer
C431,,cancer
C432,,cancer
C433,,cancer
C434,,cancer
C435,,cancer
C436,,cancer
C437,,cancer
C438,,cancer
C439,,cancer
C440,,cancer
C441,,cancer
C442,,cancer
C443,,cancer
C444,,cancer
C445,,cancer
C446,,cancer
C447,,cancer
C448,,cancer
C449,,cancer
C450,,cancer
C451,,cancer
C452,,cancer
C453,,cancer
C454,,cancer
C455,,cancer
C456,,cancer
C457,,cancer
C458,,cancer
C459,,cancer
C460,,cancer
C461,,cancer
C462,,cancer
C463,,cancer
C464,,cancer
C465,,cancer
C466,,cancer
C467,,cancer
C468,,cancer
C469,,cancer
C470,,cancer
C471,,cancer
C472,,cancer
C473,,cancer
C474,,cancer
C475,,cancer
C476,,cancer
C477,,cancer
C478,,cancer
C479,,cancer
C480,,cancer
C481,,cancer
C482,,cancer
C483,,cancer
C484,,cancer
C485,,cancer
C486,,cancer
C487,,cancer
C488,,cancer
C489,,cancer
C490,,cancer
C491,,cancer
C492,,cancer
C493,,cancer
C494,,cancer
C495,,cancer
C496,,cancer
C497,,cancer
C498,,cancer
C499,,cancer
C500,,cancer
C501,,cancer
C502,,cancer
C503,,cancer
C504,,cancer
C505,,cancer
C506,,cancer
C507,,cancer
C508,,cancer
C509,,cancer
C510,,cancer
C511,,cancer
C512,,cancer
C513,,cancer
C514,,cancer
C515,,cancer
C516,,cancer
C517,,cancer
C518,,cancer
C519,,cancer
C520,,cancer
C521,,cancer
C522,,cancer
C523,,cancer
C524,,cancer
C525,,cancer
C526,,cancer
C527,,cancer
C528,,cancer
C529,,cancer
C530,,cancer
C531,,cancer
C532,,cancer
C533,,cancer
C534,,cancer
C535,,cancer
C536,,cancer
C537,,cancer
C538,,cancer
C539,,cancer
C540,,cancer
C541,,cancer
C542,,cancer
C543,,cancer
C544,,cancer
C545,,cancer
C546,,cancer
C547,,cancer
C548,,cancer
C549,,cancer
C550,,cancer
C551,,cancer
C552,,cancer
C553,,cancer
C554,,cancer
C555,,cancer
C556,,cancer
C557,,cancer
C558,,cancer
C559,,cancer
C560,,cancer
C561,,cancer
C562,,cancer
C563,,cancer
C564,,cancer
C565,,cancer
C566,,cancer
C567,,cancer
C568,,cancer
C569,,cancer
C570,,cancer
C571,,cancer
C572,,cancer
C573,,cancer
C574,,cancer
C575,,cancer
C576,,cancer
C577,,cancer
C578,,cancer
C579,,cancer
C580,,cancer
C581,,cancer
C582,,cancer
C583,,cancer
C584,,cancer
C585,,cancer
C586,,cancer
C587,,cancer
C588,,cancer
C589,,cancer
C590,,cancer
C591,,cancer
C592,,cancer
C593,,cancer
C594,,cancer
C595,,cancer
C596,,cancer
C597,,cancer
C598,,cancer
C599,,cancer
C600,,cancer
C601,,cancer
C602,,cancer
C603,,cancer
C604,,cancer
C605,,cancer
C606,,cancer
C607,,cancer
C608,,cancer
C609,,cancer
C610,,cancer
C611,,cancer
C612,,cancer
C613,,cancer
C614,,cancer
C615,,cancer
C616,,cancer
C617,,cancer
C618,,cancer
C619,,cancer
C620,,cancer
C621,,cancer
C622,,cancer
C623,,cancer
C624,,cancer
C625,,cancer
C626,,cancer
C627,,cancer
C628,,cancer
C629,,cancer
C630,,cancer
C631,,cancer
C632,,cancer
C633,,cancer
C634,,cancer
C635,,cancer
C636,,cancer
C637,,cancer
C638,,cancer
C639,,cancer
C640,,cancer
C641,,cancer
C642,,cancer
C643,,cancer
C644,,cancer
C645,,cancer
C646,,cancer
C647,,cancer
C648,,cancer
C649,,cancer
C650,,cancer
C651,,cancer
C652,,cancer
C653,,cancer
C654,,cancer
C655,,cancer
C656,,cancer
C657,,cancer
C658,,cancer
C659,,cancer
C660,,cancer
C661,,cancer
C662,,cancer
C663,,cancer
C664,,cancer
C665,,cancer
C666,,cancer
C667,,cancer
C668,,cancer
C669,,cancer
C670,,cancer
C671,,cancer
C672,,cancer
C673,,cancer
C674,,cancer
C675,,cancer
C676,,cancer
C677,,cancer
C678,,cancer
C679,,cancer
C680,,cancer
C681,,cancer
C682,,cancer
C683,,cancer
C684,,cancer
C685,,cancer
C686,,cancer
C687,,cancer
C688,,cancer
C689,,cancer
C690,,cancer
C691,,cancer
C692,,cancer
C693,,cancer
C694,,cancer
C695,,cancer
C696,,cancer
C697,,cancer
C698,,cancer
C699,,cancer
C700,,cancer
C701,,cancer
C702,,cancer
C703,,cancer
C704,,cancer
C705,,cancer
C706,,cancer
C707,,cancer
C708,,cancer
C709,,cancer
C710,,cancer
C711,,cancer
C712,,cancer
C713,,cancer
C714,,cancer
C715,,cancer
C716,,cancer
C717,,cancer
C718,,cancer
C719,,cancer
C720,,cancer
C721,,cancer
C722,,cancer
C723,,cancer
C724,,cancer
C725,,cancer
C726,,cancer
C727,,cancer
C728,,cancer
C729,,cancer
C730,,cancer
C731,,cancer
C732,,cancer
C733,,cancer
C734,,cancer
C735,,cancer
C736,,cancer
C737,,cancer
C738,,cancer
C739,,cancer
C740,,cancer
C741,,cancer
C742,,cancer
C743,,cancer
C744,,cancer
C745,,cancer
C746,,cancer
C747,,cancer
C748,,cancer
C749,,cancer
C750,,cancer
C751,,cancer
C752,,cancer
C753,,cancer
C754,,cancer
C755,,cancer
C756,,cancer
C757,,cancer
C758,,cancer
C759,,cancer
C760,,cancer
C761,,cancer
C762,,cancer
C763,,cancer
C764,,cancer
C765,,cancer
C766,,cancer
C767,,cancer
C768,,cancer
C769,,cancer
C770,,cancer
C771,,cancer
C772,,cancer
C773,,cancer
C774,,cancer
C775,,cancer
C776,,cancer
C777,,cancer
C778,,cancer
C779,,cancer
C780,,cancer
C781,,cancer
C782,,cancer
C783,,cancer
C784,,cancer
C785,,cancer
C786,,cancer
C787,,cancer
C788,,cancer
C789,,cancer
C790,,cancer
C791,,cancer
C792,,cancer
C793,,cancer
C794,,cancer
C795,,cancer
C796,,cancer
C797,,cancer
C798,,cancer
C799,,cancer
C800,,cancer
C801,,cancer
C802,,cancer
C803,,cancer
C804,,cancer
C805,,cancer
C806,,cancer
C807,,cancer
C808,,cancer
C809,,cancer
C810,,cancer
C811,,cancer
C812,,cancer
C813,,cancer
C814,,cancer
C815,,cancer
C816,,cancer
C817,,cancer
C818,,cancer
C819,,cancer
C820,,cancer
C821,,cancer
C822,,cancer
C823,,cancer
C824,,cancer
C825,,cancer
C826,,cancer
C827,,cancer
C828,,cancer
C829,,cancer
C830,,cancer
C831,,cancer
C832,,cancer
C833,,cancer
C834,,cancer
C835,,cancer
C836,,cancer
C837,,cancer
C838,,cancer
C839,,cancer
C840,,cancer
C841,,cancer
C842,,cancer
C843,,cancer
C844,,cancer
C845,,cancer
C846,,cancer
C847,,cancer
C848,,cancer
C849,,cancer
C850,,cancer
C851,,cancer
C852,,cancer
C853,,cancer
C854,,cancer
C855,,cancer
C856,,cancer
C857,,cancer
C858,,cancer
C859,,cancer
C860,,cancer
C861,,cancer
C862,,cancer
C863,,cancer
C864,,cancer
C865,,cancer
C866,,cancer
C867,,cancer
C868,,cancer
C869,,cancer
C870,,cancer
C871,,cancer
C872,,cancer
C873,,cancer
C874,,cancer
C875,,cancer
C876,,cancer
C877,,cancer
C878,,cancer
C879,,cancer
C880,,cancer
C881,,cancer
C882,,cancer
C883,,cancer
C884,,cancer
C885,,cancer
C886,,cancer
C887,,cancer
C888,,cancer
C889,,cancer
C890,,cancer
C891,,cancer
C892,,cancer
C893,,cancer
C894,,cancer
C895,,cancer
C896,,cancer
C897,,cancer
C898,,cancer
C899,,cancer
C900,,cancer
C901,,cancer
C902,,cancer
C903,,cancer
C904,,cancer
C905,,cancer
C906,,cancer
C907,,cancer
C908,,cancer
C909,,cancer
C910,,cancer
C911,,cancer
C912,,cancer
C913,,cancer
C914,,cancer
C915,,cancer
C916,,cancer
C917,,cancer
C918,,cancer
C919,,cancer
C920,,cancer
C921,,cancer
C922,,cancer
C923,,cancer
C924,,cancer
C925,,cancer
C926,,cancer
C927,,cancer
C928,,cancer
C929,,cancer
C930,,cancer
C931,,cancer
C932,,cancer
C933,,cancer
C934,,cancer
C935,,cancer
C936,,cancer
C937,,cancer
C938,,cancer
C939,,cancer
C940,,cancer
C941,,cancer
C942,,cancer
C943,,cancer
C944,,cancer
C945,,cancer
C946,,cancer
C947,,cancer
C948,,cancer
C949,,cancer
C950,,cancer
C951,,cancer
C952,,cancer
C953,,cancer
C954,,cancer
C955,,cancer
C956,,cancer
C957,,cancer
C958,,cancer
C959,,cancer
C960,,cancer
C961,,cancer
C962,,cancer
C963,,cancer
C964,,cancer
C965,,cancer
C966,,cancer
C967,,cancer
C968,,cancer
C969,,cancer
C970,,cancer
