icd_codes,description,group
N084,need to fill in,other ckd
N085,need to fill in,other ckd
N086,need to fill in,other ckd
N087,need to fill in,other ckd
N088,need to fill in,other ckd
N089,need to fill in,other ckd
N08A,need to fill in,other ckd
N11,need to fill in,other ckd
N110,need to fill in,other ckd
N111,need to fill in,other ckd
N118,need to fill in,other ckd
N119,need to fill in,other ckd
N12,need to fill in,other ckd
N14,need to fill in,other ckd
N140,need to fill in,other ckd
N141,need to fill in,other ckd
N142,need to fill in,other ckd
N143,need to fill in,other ckd
N144,need to fill in,other ckd
N15,need to fill in,other ckd
N150,need to fill in,other ckd
N151,need to fill in,other ckd
N158,need to fill in,other ckd
N159,need to fill in,other ckd
N16,need to fill in,other ckd
N160,need to fill in,other ckd
N161,need to fill in,other ckd
N162,need to fill in,other ckd
N163,need to fill in,other ckd
N164,need to fill in,other ckd
N165,need to fill in,other ckd
N168,need to fill in,other ckd
N25,need to fill in,other ckd
N250,need to fill in,other ckd
N251,need to fill in,other ckd
N258,need to fill in,other ckd
N259,need to fill in,other ckd
N26,need to fill in,other ckd
N27,need to fill in,other ckd
I12,need to fill in,other ckd
I120,need to fill in,other ckd
I129,need to fill in,other ckd
I130,need to fill in,other ckd
I131,need to fill in,other ckd
I132,need to fill in,other ckd
I139,need to fill in,other ckd
Q61,need to fill in,other ckd
Q610,need to fill in,other ckd
Q611,need to fill in,other ckd
Q612,need to fill in,other ckd
Q613,need to fill in,other ckd
Q614,need to fill in,other ckd
Q615,need to fill in,other ckd
Q618,need to fill in,other ckd
Q619,need to fill in,other ckd
