"group","month_yr","n"
"cardiomyopathy","2017-03",1809
"cardiomyopathy","2017-04",1568
"cardiomyopathy","2017-05",1732
"cardiomyopathy","2017-06",1808
"cardiomyopathy","2017-07",1763
"cardiomyopathy","2017-08",1752
"cardiomyopathy","2017-09",1708
"cardiomyopathy","2017-10",1797
"cardiomyopathy","2017-11",1738
"cardiomyopathy","2017-12",1676
"cardiomyopathy","2018-01",1809
"cardiomyopathy","2018-02",1723
"cardiomyopathy","2018-03",1745
"cardiomyopathy","2018-04",1826
"cardiomyopathy","2018-05",1802
"cardiomyopathy","2018-06",1850
"cardiomyopathy","2018-07",1864
"cardiomyopathy","2018-08",1919
"cardiomyopathy","2018-09",1750
"cardiomyopathy","2018-10",2066
"cardiomyopathy","2018-11",1896
"cardiomyopathy","2018-12",1797
"cardiomyopathy","2019-01",2075
"cardiomyopathy","2019-02",1815
"cardiomyopathy","2019-03",1933
"cardiomyopathy","2019-04",1935
"cardiomyopathy","2019-05",1990
"cardiomyopathy","2019-06",1979
"cardiomyopathy","2019-07",2008
"cardiomyopathy","2019-08",1931
"cardiomyopathy","2019-09",1948
"cardiomyopathy","2019-10",2097
"cardiomyopathy","2019-11",2083
"cardiomyopathy","2019-12",1957
"cardiomyopathy","2020-01",2120
"cardiomyopathy","2020-02",1977
"cardiomyopathy","2020-03",1603
"cardiomyopathy","2020-04",974
"cardiomyopathy","2020-05",1246
"cardiomyopathy","2020-06",1413
"cardiomyopathy","2020-07",1620
"cardiomyopathy","2020-08",1615
"cardiomyopathy","2020-09",1752
"cardiomyopathy","2020-10",1730
"cardiomyopathy","2020-11",1634
"cardiomyopathy","2020-12",1621
"cardiomyopathy","2021-01",1457
"cardiomyopathy","2021-02",1486
"cardiomyopathy","2021-03",1792
"cardiomyopathy","2021-04",1753
"cardiomyopathy","2021-05",1812
"cardiomyopathy","2021-06",1766
"cardiomyopathy","2021-07",1687
"cardiomyopathy","2021-08",1662
"cardiomyopathy","2021-09",1710
"cardiomyopathy","2021-10",1670
"cardiomyopathy","2021-11",1791
"cardiomyopathy","2021-12",1697
"cardiomyopathy","2022-01",1659
"cardiomyopathy","2022-02",1674
"cardiomyopathy","2022-03",1815
"cardiomyopathy","2022-04",1734
"cardiomyopathy","2022-05",1768
"cardiomyopathy","2022-06",1680
"cardiomyopathy","2022-07",1643
"cardiomyopathy","2022-08",1727
"cardiomyopathy","2022-09",1763
"cardiomyopathy","2022-10",1831
"cardiomyopathy","2022-11",1924
"cardiomyopathy","2022-12",1704
"cardiomyopathy","2023-01",1930
"cardiomyopathy","2023-02",1740
"cardiomyopathy","2023-03",1934
"cardiomyopathy","2023-04",1691
"cardiomyopathy","2023-05",1151
"covid","2017-08",1
"covid","2018-09",1
"covid","2019-02",1
"covid","2019-08",1
"covid","2019-09",2
"covid","2019-10",1
"covid","2019-11",1
"covid","2020-01",5
"covid","2020-02",17
"covid","2020-03",188
"covid","2020-04",319
"covid","2020-05",117
"covid","2020-06",22
"covid","2020-07",12
"covid","2020-08",10
"covid","2020-09",27
"covid","2020-10",236
"covid","2020-11",476
"covid","2020-12",412
"covid","2021-01",862
"covid","2021-02",319
"covid","2021-03",100
"covid","2021-04",34
"covid","2021-05",6
"covid","2021-06",30
"covid","2021-07",232
"covid","2021-08",259
"covid","2021-09",246
"covid","2021-10",303
"covid","2021-11",279
"covid","2021-12",360
"covid","2022-01",466
"covid","2022-02",345
"covid","2022-03",498
"covid","2022-04",301
"covid","2022-05",101
"covid","2022-06",187
"covid","2022-07",247
"covid","2022-08",136
"covid","2022-09",163
"covid","2022-10",203
"covid","2022-11",138
"covid","2022-12",216
"covid","2023-01",118
"covid","2023-02",114
"covid","2023-03",181
"covid","2023-04",106
"covid","2023-05",39
"myocarditis","2016-07",1
"myocarditis","2016-08",5
"myocarditis","2016-09",3
"myocarditis","2016-10",2
"myocarditis","2016-11",2
"myocarditis","2016-12",3
"myocarditis","2017-01",1
"myocarditis","2017-02",4
"myocarditis","2017-03",2
"myocarditis","2017-04",3
"myocarditis","2017-05",5
"myocarditis","2017-06",1
"myocarditis","2017-07",8
"myocarditis","2017-08",2
"myocarditis","2017-09",5
"myocarditis","2017-10",7
"myocarditis","2017-11",6
"myocarditis","2017-12",4
"myocarditis","2018-01",4
"myocarditis","2018-02",1
"myocarditis","2018-03",4
"myocarditis","2018-04",4
"myocarditis","2018-05",5
"myocarditis","2018-06",7
"myocarditis","2018-07",11
"myocarditis","2018-08",8
"myocarditis","2018-09",5
"myocarditis","2018-10",5
"myocarditis","2018-11",5
"myocarditis","2018-12",7
"myocarditis","2019-01",5
"myocarditis","2019-02",5
"myocarditis","2019-03",5
"myocarditis","2019-04",2
"myocarditis","2019-05",8
"myocarditis","2019-06",2
"myocarditis","2019-07",6
"myocarditis","2019-08",4
"myocarditis","2019-09",8
"myocarditis","2019-10",9
"myocarditis","2019-11",10
"myocarditis","2019-12",4
"myocarditis","2020-01",5
"myocarditis","2020-02",3
"myocarditis","2020-03",4
"myocarditis","2020-04",4
"myocarditis","2020-05",9
"myocarditis","2020-06",8
"myocarditis","2020-07",4
"myocarditis","2020-08",7
"myocarditis","2020-09",4
"myocarditis","2020-10",6
"myocarditis","2020-11",5
"myocarditis","2020-12",3
"myocarditis","2021-01",6
"myocarditis","2021-02",5
"myocarditis","2021-03",8
"myocarditis","2021-04",3
"myocarditis","2021-05",2
"myocarditis","2021-06",8
"myocarditis","2021-07",8
"myocarditis","2021-08",10
"myocarditis","2021-09",6
"myocarditis","2021-10",8
"myocarditis","2021-11",6
"myocarditis","2021-12",11
"myocarditis","2022-01",7
"myocarditis","2022-02",9
"myocarditis","2022-03",10
"myocarditis","2022-04",13
"myocarditis","2022-05",6
"myocarditis","2022-06",4
"myocarditis","2022-07",11
"myocarditis","2022-08",5
"myocarditis","2022-09",5
"myocarditis","2022-10",12
"myocarditis","2022-11",4
"myocarditis","2022-12",10
"myocarditis","2023-01",6
"myocarditis","2023-02",7
"myocarditis","2023-03",11
"myocarditis","2023-04",6
"myocarditis","2023-05",2
"pericarditis","2016-07",1
"pericarditis","2016-08",5
"pericarditis","2016-09",1
"pericarditis","2016-10",1
"pericarditis","2016-11",2
"pericarditis","2016-12",3
"pericarditis","2017-01",1
"pericarditis","2017-02",2
"pericarditis","2017-04",2
"pericarditis","2017-05",2
"pericarditis","2017-07",3
"pericarditis","2017-08",4
"pericarditis","2017-09",1
"pericarditis","2017-10",2
"pericarditis","2017-11",1
"pericarditis","2017-12",2
"pericarditis","2018-02",2
"pericarditis","2018-03",4
"pericarditis","2018-04",1
"pericarditis","2018-05",6
"pericarditis","2018-06",4
"pericarditis","2018-07",4
"pericarditis","2018-08",4
"pericarditis","2018-09",3
"pericarditis","2018-10",5
"pericarditis","2018-11",3
"pericarditis","2018-12",4
"pericarditis","2019-01",6
"pericarditis","2019-02",4
"pericarditis","2019-03",2
"pericarditis","2019-05",2
"pericarditis","2019-06",4
"pericarditis","2019-07",1
"pericarditis","2019-08",2
"pericarditis","2019-09",4
"pericarditis","2019-10",2
"pericarditis","2019-11",8
"pericarditis","2019-12",5
"pericarditis","2020-01",4
"pericarditis","2020-02",4
"pericarditis","2020-03",4
"pericarditis","2020-04",6
"pericarditis","2020-05",5
"pericarditis","2020-06",7
"pericarditis","2020-07",8
"pericarditis","2020-08",5
"pericarditis","2020-09",4
"pericarditis","2020-10",3
"pericarditis","2020-11",2
"pericarditis","2020-12",4
"pericarditis","2021-01",7
"pericarditis","2021-02",5
"pericarditis","2021-03",7
"pericarditis","2021-04",6
"pericarditis","2021-05",5
"pericarditis","2021-06",6
"pericarditis","2021-07",3
"pericarditis","2021-08",6
"pericarditis","2021-09",3
"pericarditis","2021-10",9
"pericarditis","2021-11",5
"pericarditis","2021-12",3
"pericarditis","2022-01",8
"pericarditis","2022-02",3
"pericarditis","2022-03",8
"pericarditis","2022-04",5
"pericarditis","2022-06",5
"pericarditis","2022-07",5
"pericarditis","2022-08",8
"pericarditis","2022-09",7
"pericarditis","2022-10",12
"pericarditis","2022-11",4
"pericarditis","2022-12",5
"pericarditis","2023-01",8
"pericarditis","2023-02",6
"pericarditis","2023-03",6
"pericarditis","2023-04",6
"pericarditis","2023-05",3
