"description_simple","month_yr","n"
"hypertrophic_cardiomyopathy","2016-07",15
"hypertrophic_cardiomyopathy","2016-08",12
"hypertrophic_cardiomyopathy","2016-09",23
"hypertrophic_cardiomyopathy","2016-10",20
"hypertrophic_cardiomyopathy","2016-11",16
"hypertrophic_cardiomyopathy","2016-12",11
"hypertrophic_cardiomyopathy","2017-01",13
"hypertrophic_cardiomyopathy","2017-02",16
"hypertrophic_cardiomyopathy","2017-03",22
"hypertrophic_cardiomyopathy","2017-04",21
"hypertrophic_cardiomyopathy","2017-05",12
"hypertrophic_cardiomyopathy","2017-06",17
"hypertrophic_cardiomyopathy","2017-07",14
"hypertrophic_cardiomyopathy","2017-08",15
"hypertrophic_cardiomyopathy","2017-09",11
"hypertrophic_cardiomyopathy","2017-10",15
"hypertrophic_cardiomyopathy","2017-11",17
"hypertrophic_cardiomyopathy","2017-12",22
"hypertrophic_cardiomyopathy","2018-01",17
"hypertrophic_cardiomyopathy","2018-02",18
"hypertrophic_cardiomyopathy","2018-03",11
"hypertrophic_cardiomyopathy","2018-04",16
"hypertrophic_cardiomyopathy","2018-05",20
"hypertrophic_cardiomyopathy","2018-06",26
"hypertrophic_cardiomyopathy","2018-07",20
"hypertrophic_cardiomyopathy","2018-08",18
"hypertrophic_cardiomyopathy","2018-09",23
"hypertrophic_cardiomyopathy","2018-10",30
"hypertrophic_cardiomyopathy","2018-11",14
"hypertrophic_cardiomyopathy","2018-12",18
"hypertrophic_cardiomyopathy","2019-01",16
"hypertrophic_cardiomyopathy","2019-02",21
"hypertrophic_cardiomyopathy","2019-03",30
"hypertrophic_cardiomyopathy","2019-04",24
"hypertrophic_cardiomyopathy","2019-05",26
"hypertrophic_cardiomyopathy","2019-06",15
"hypertrophic_cardiomyopathy","2019-07",20
"hypertrophic_cardiomyopathy","2019-08",22
"hypertrophic_cardiomyopathy","2019-09",21
"hypertrophic_cardiomyopathy","2019-10",21
"hypertrophic_cardiomyopathy","2019-11",19
"hypertrophic_cardiomyopathy","2019-12",20
"hypertrophic_cardiomyopathy","2020-01",22
"hypertrophic_cardiomyopathy","2020-02",22
"hypertrophic_cardiomyopathy","2020-03",15
"hypertrophic_cardiomyopathy","2020-04",15
"hypertrophic_cardiomyopathy","2020-05",14
"hypertrophic_cardiomyopathy","2020-06",19
"hypertrophic_cardiomyopathy","2020-07",21
"hypertrophic_cardiomyopathy","2020-08",20
"hypertrophic_cardiomyopathy","2020-09",21
"hypertrophic_cardiomyopathy","2020-10",22
"hypertrophic_cardiomyopathy","2020-11",24
"hypertrophic_cardiomyopathy","2020-12",20
"hypertrophic_cardiomyopathy","2021-01",23
"hypertrophic_cardiomyopathy","2021-02",20
"hypertrophic_cardiomyopathy","2021-03",21
"hypertrophic_cardiomyopathy","2021-04",25
"hypertrophic_cardiomyopathy","2021-05",19
"hypertrophic_cardiomyopathy","2021-06",23
"hypertrophic_cardiomyopathy","2021-07",18
"hypertrophic_cardiomyopathy","2021-08",21
"hypertrophic_cardiomyopathy","2021-09",22
"hypertrophic_cardiomyopathy","2021-10",21
"hypertrophic_cardiomyopathy","2021-11",28
"hypertrophic_cardiomyopathy","2021-12",25
"hypertrophic_cardiomyopathy","2022-01",18
"hypertrophic_cardiomyopathy","2022-02",19
"hypertrophic_cardiomyopathy","2022-03",25
"hypertrophic_cardiomyopathy","2022-04",18
"hypertrophic_cardiomyopathy","2022-05",26
"hypertrophic_cardiomyopathy","2022-06",19
"hypertrophic_cardiomyopathy","2022-07",23
"hypertrophic_cardiomyopathy","2022-08",21
"hypertrophic_cardiomyopathy","2022-09",12
"hypertrophic_cardiomyopathy","2022-10",23
"hypertrophic_cardiomyopathy","2022-11",31
"hypertrophic_cardiomyopathy","2022-12",17
"hypertrophic_cardiomyopathy","2023-01",30
"hypertrophic_cardiomyopathy","2023-02",19
"hypertrophic_cardiomyopathy","2023-03",25
"hypertrophic_cardiomyopathy","2023-04",20
"hypertrophic_cardiomyopathy","2023-05",20
"ischaemic_cardiomyopathy","2016-07",1589
"ischaemic_cardiomyopathy","2016-08",1608
"ischaemic_cardiomyopathy","2016-09",1576
"ischaemic_cardiomyopathy","2016-10",1633
"ischaemic_cardiomyopathy","2016-11",1604
"ischaemic_cardiomyopathy","2016-12",1529
"ischaemic_cardiomyopathy","2017-01",1721
"ischaemic_cardiomyopathy","2017-02",1565
"ischaemic_cardiomyopathy","2017-03",1696
"ischaemic_cardiomyopathy","2017-04",1491
"ischaemic_cardiomyopathy","2017-05",1649
"ischaemic_cardiomyopathy","2017-06",1718
"ischaemic_cardiomyopathy","2017-07",1667
"ischaemic_cardiomyopathy","2017-08",1675
"ischaemic_cardiomyopathy","2017-09",1627
"ischaemic_cardiomyopathy","2017-10",1709
"ischaemic_cardiomyopathy","2017-11",1632
"ischaemic_cardiomyopathy","2017-12",1581
"ischaemic_cardiomyopathy","2018-01",1708
"ischaemic_cardiomyopathy","2018-02",1612
"ischaemic_cardiomyopathy","2018-03",1650
"ischaemic_cardiomyopathy","2018-04",1714
"ischaemic_cardiomyopathy","2018-05",1691
"ischaemic_cardiomyopathy","2018-06",1742
"ischaemic_cardiomyopathy","2018-07",1765
"ischaemic_cardiomyopathy","2018-08",1811
"ischaemic_cardiomyopathy","2018-09",1647
"ischaemic_cardiomyopathy","2018-10",1920
"ischaemic_cardiomyopathy","2018-11",1795
"ischaemic_cardiomyopathy","2018-12",1694
"ischaemic_cardiomyopathy","2019-01",1957
"ischaemic_cardiomyopathy","2019-02",1683
"ischaemic_cardiomyopathy","2019-03",1796
"ischaemic_cardiomyopathy","2019-04",1794
"ischaemic_cardiomyopathy","2019-05",1855
"ischaemic_cardiomyopathy","2019-06",1830
"ischaemic_cardiomyopathy","2019-07",1879
"ischaemic_cardiomyopathy","2019-08",1784
"ischaemic_cardiomyopathy","2019-09",1790
"ischaemic_cardiomyopathy","2019-10",1929
"ischaemic_cardiomyopathy","2019-11",1920
"ischaemic_cardiomyopathy","2019-12",1776
"ischaemic_cardiomyopathy","2020-01",1964
"ischaemic_cardiomyopathy","2020-02",1832
"ischaemic_cardiomyopathy","2020-03",1484
"ischaemic_cardiomyopathy","2020-04",903
"ischaemic_cardiomyopathy","2020-05",1138
"ischaemic_cardiomyopathy","2020-06",1297
"ischaemic_cardiomyopathy","2020-07",1499
"ischaemic_cardiomyopathy","2020-08",1465
"ischaemic_cardiomyopathy","2020-09",1567
"ischaemic_cardiomyopathy","2020-10",1574
"ischaemic_cardiomyopathy","2020-11",1476
"ischaemic_cardiomyopathy","2020-12",1474
"ischaemic_cardiomyopathy","2021-01",1319
"ischaemic_cardiomyopathy","2021-02",1357
"ischaemic_cardiomyopathy","2021-03",1642
"ischaemic_cardiomyopathy","2021-04",1622
"ischaemic_cardiomyopathy","2021-05",1668
"ischaemic_cardiomyopathy","2021-06",1630
"ischaemic_cardiomyopathy","2021-07",1573
"ischaemic_cardiomyopathy","2021-08",1521
"ischaemic_cardiomyopathy","2021-09",1567
"ischaemic_cardiomyopathy","2021-10",1539
"ischaemic_cardiomyopathy","2021-11",1617
"ischaemic_cardiomyopathy","2021-12",1541
"ischaemic_cardiomyopathy","2022-01",1531
"ischaemic_cardiomyopathy","2022-02",1551
"ischaemic_cardiomyopathy","2022-03",1677
"ischaemic_cardiomyopathy","2022-04",1602
"ischaemic_cardiomyopathy","2022-05",1621
"ischaemic_cardiomyopathy","2022-06",1542
"ischaemic_cardiomyopathy","2022-07",1510
"ischaemic_cardiomyopathy","2022-08",1576
"ischaemic_cardiomyopathy","2022-09",1631
"ischaemic_cardiomyopathy","2022-10",1691
"ischaemic_cardiomyopathy","2022-11",1749
"ischaemic_cardiomyopathy","2022-12",1541
"ischaemic_cardiomyopathy","2023-01",1741
"ischaemic_cardiomyopathy","2023-02",1576
"ischaemic_cardiomyopathy","2023-03",1772
"ischaemic_cardiomyopathy","2023-04",1571
"ischaemic_cardiomyopathy","2023-05",1070
"myocarditis","2016-07",1
"myocarditis","2016-08",5
"myocarditis","2016-09",3
"myocarditis","2016-10",2
"myocarditis","2016-11",2
"myocarditis","2016-12",3
"myocarditis","2017-01",1
"myocarditis","2017-02",4
"myocarditis","2017-03",2
"myocarditis","2017-04",3
"myocarditis","2017-05",5
"myocarditis","2017-06",1
"myocarditis","2017-07",8
"myocarditis","2017-08",2
"myocarditis","2017-09",5
"myocarditis","2017-10",7
"myocarditis","2017-11",6
"myocarditis","2017-12",4
"myocarditis","2018-01",4
"myocarditis","2018-02",1
"myocarditis","2018-03",4
"myocarditis","2018-04",4
"myocarditis","2018-05",5
"myocarditis","2018-06",7
"myocarditis","2018-07",11
"myocarditis","2018-08",8
"myocarditis","2018-09",5
"myocarditis","2018-10",5
"myocarditis","2018-11",5
"myocarditis","2018-12",7
"myocarditis","2019-01",5
"myocarditis","2019-02",5
"myocarditis","2019-03",5
"myocarditis","2019-04",2
"myocarditis","2019-05",8
"myocarditis","2019-06",2
"myocarditis","2019-07",6
"myocarditis","2019-08",4
"myocarditis","2019-09",8
"myocarditis","2019-10",9
"myocarditis","2019-11",10
"myocarditis","2019-12",4
"myocarditis","2020-01",5
"myocarditis","2020-02",3
"myocarditis","2020-03",4
"myocarditis","2020-04",4
"myocarditis","2020-05",9
"myocarditis","2020-06",8
"myocarditis","2020-07",4
"myocarditis","2020-08",7
"myocarditis","2020-09",4
"myocarditis","2020-10",6
"myocarditis","2020-11",5
"myocarditis","2020-12",3
"myocarditis","2021-01",6
"myocarditis","2021-02",5
"myocarditis","2021-03",8
"myocarditis","2021-04",3
"myocarditis","2021-05",2
"myocarditis","2021-06",8
"myocarditis","2021-07",8
"myocarditis","2021-08",10
"myocarditis","2021-09",6
"myocarditis","2021-10",8
"myocarditis","2021-11",6
"myocarditis","2021-12",11
"myocarditis","2022-01",7
"myocarditis","2022-02",9
"myocarditis","2022-03",10
"myocarditis","2022-04",13
"myocarditis","2022-05",6
"myocarditis","2022-06",4
"myocarditis","2022-07",11
"myocarditis","2022-08",5
"myocarditis","2022-09",5
"myocarditis","2022-10",12
"myocarditis","2022-11",4
"myocarditis","2022-12",10
"myocarditis","2023-01",6
"myocarditis","2023-02",7
"myocarditis","2023-03",11
"myocarditis","2023-04",6
"myocarditis","2023-05",2
"other_cardiac_amyloidosis","2016-07",2
"other_cardiac_amyloidosis","2016-08",1
"other_cardiac_amyloidosis","2016-09",3
"other_cardiac_amyloidosis","2016-10",5
"other_cardiac_amyloidosis","2016-11",4
"other_cardiac_amyloidosis","2016-12",2
"other_cardiac_amyloidosis","2017-01",3
"other_cardiac_amyloidosis","2017-02",2
"other_cardiac_amyloidosis","2017-03",3
"other_cardiac_amyloidosis","2017-04",2
"other_cardiac_amyloidosis","2017-05",3
"other_cardiac_amyloidosis","2017-06",2
"other_cardiac_amyloidosis","2017-07",4
"other_cardiac_amyloidosis","2017-08",1
"other_cardiac_amyloidosis","2017-09",1
"other_cardiac_amyloidosis","2017-10",1
"other_cardiac_amyloidosis","2017-11",4
"other_cardiac_amyloidosis","2017-12",4
"other_cardiac_amyloidosis","2018-01",4
"other_cardiac_amyloidosis","2018-02",5
"other_cardiac_amyloidosis","2018-03",6
"other_cardiac_amyloidosis","2018-04",6
"other_cardiac_amyloidosis","2018-05",2
"other_cardiac_amyloidosis","2018-06",2
"other_cardiac_amyloidosis","2018-07",3
"other_cardiac_amyloidosis","2018-08",3
"other_cardiac_amyloidosis","2018-09",3
"other_cardiac_amyloidosis","2018-10",1
"other_cardiac_amyloidosis","2018-11",2
"other_cardiac_amyloidosis","2018-12",2
"other_cardiac_amyloidosis","2019-01",3
"other_cardiac_amyloidosis","2019-02",4
"other_cardiac_amyloidosis","2019-03",6
"other_cardiac_amyloidosis","2019-04",2
"other_cardiac_amyloidosis","2019-05",4
"other_cardiac_amyloidosis","2019-06",4
"other_cardiac_amyloidosis","2019-07",3
"other_cardiac_amyloidosis","2019-08",3
"other_cardiac_amyloidosis","2019-09",4
"other_cardiac_amyloidosis","2019-10",5
"other_cardiac_amyloidosis","2019-11",7
"other_cardiac_amyloidosis","2019-12",10
"other_cardiac_amyloidosis","2020-01",10
"other_cardiac_amyloidosis","2020-02",6
"other_cardiac_amyloidosis","2020-03",7
"other_cardiac_amyloidosis","2020-04",4
"other_cardiac_amyloidosis","2020-05",5
"other_cardiac_amyloidosis","2020-06",8
"other_cardiac_amyloidosis","2020-07",5
"other_cardiac_amyloidosis","2020-08",4
"other_cardiac_amyloidosis","2020-09",5
"other_cardiac_amyloidosis","2020-10",7
"other_cardiac_amyloidosis","2020-11",2
"other_cardiac_amyloidosis","2020-12",1
"other_cardiac_amyloidosis","2021-01",1
"other_cardiac_amyloidosis","2021-02",1
"other_cardiac_amyloidosis","2021-03",5
"other_cardiac_amyloidosis","2021-04",6
"other_cardiac_amyloidosis","2021-05",9
"other_cardiac_amyloidosis","2021-06",5
"other_cardiac_amyloidosis","2021-07",8
"other_cardiac_amyloidosis","2021-08",7
"other_cardiac_amyloidosis","2021-09",6
"other_cardiac_amyloidosis","2021-10",6
"other_cardiac_amyloidosis","2021-11",6
"other_cardiac_amyloidosis","2021-12",5
"other_cardiac_amyloidosis","2022-01",6
"other_cardiac_amyloidosis","2022-02",3
"other_cardiac_amyloidosis","2022-03",9
"other_cardiac_amyloidosis","2022-04",6
"other_cardiac_amyloidosis","2022-05",6
"other_cardiac_amyloidosis","2022-06",5
"other_cardiac_amyloidosis","2022-07",4
"other_cardiac_amyloidosis","2022-08",4
"other_cardiac_amyloidosis","2022-09",2
"other_cardiac_amyloidosis","2022-10",2
"other_cardiac_amyloidosis","2022-11",7
"other_cardiac_amyloidosis","2022-12",5
"other_cardiac_amyloidosis","2023-01",4
"other_cardiac_amyloidosis","2023-02",5
"other_cardiac_amyloidosis","2023-03",2
"other_cardiac_amyloidosis","2023-04",3
"other_cardiac_amyloidosis","2023-05",4
"other_cardiomyopathy","2016-07",96
"other_cardiomyopathy","2016-08",77
"other_cardiomyopathy","2016-09",64
"other_cardiomyopathy","2016-10",76
"other_cardiomyopathy","2016-11",67
"other_cardiomyopathy","2016-12",73
"other_cardiomyopathy","2017-01",89
"other_cardiomyopathy","2017-02",95
"other_cardiomyopathy","2017-03",97
"other_cardiomyopathy","2017-04",84
"other_cardiomyopathy","2017-05",85
"other_cardiomyopathy","2017-06",94
"other_cardiomyopathy","2017-07",119
"other_cardiomyopathy","2017-08",115
"other_cardiomyopathy","2017-09",90
"other_cardiomyopathy","2017-10",90
"other_cardiomyopathy","2017-11",91
"other_cardiomyopathy","2017-12",102
"other_cardiomyopathy","2018-01",98
"other_cardiomyopathy","2018-02",95
"other_cardiomyopathy","2018-03",101
"other_cardiomyopathy","2018-04",103
"other_cardiomyopathy","2018-05",98
"other_cardiomyopathy","2018-06",89
"other_cardiomyopathy","2018-07",99
"other_cardiomyopathy","2018-08",103
"other_cardiomyopathy","2018-09",90
"other_cardiomyopathy","2018-10",127
"other_cardiomyopathy","2018-11",104
"other_cardiomyopathy","2018-12",97
"other_cardiomyopathy","2019-01",133
"other_cardiomyopathy","2019-02",134
"other_cardiomyopathy","2019-03",138
"other_cardiomyopathy","2019-04",150
"other_cardiomyopathy","2019-05",158
"other_cardiomyopathy","2019-06",158
"other_cardiomyopathy","2019-07",148
"other_cardiomyopathy","2019-08",149
"other_cardiomyopathy","2019-09",161
"other_cardiomyopathy","2019-10",176
"other_cardiomyopathy","2019-11",178
"other_cardiomyopathy","2019-12",186
"other_cardiomyopathy","2020-01",168
"other_cardiomyopathy","2020-02",145
"other_cardiomyopathy","2020-03",134
"other_cardiomyopathy","2020-04",84
"other_cardiomyopathy","2020-05",109
"other_cardiomyopathy","2020-06",130
"other_cardiomyopathy","2020-07",135
"other_cardiomyopathy","2020-08",165
"other_cardiomyopathy","2020-09",189
"other_cardiomyopathy","2020-10",174
"other_cardiomyopathy","2020-11",172
"other_cardiomyopathy","2020-12",159
"other_cardiomyopathy","2021-01",149
"other_cardiomyopathy","2021-02",142
"other_cardiomyopathy","2021-03",167
"other_cardiomyopathy","2021-04",157
"other_cardiomyopathy","2021-05",137
"other_cardiomyopathy","2021-06",146
"other_cardiomyopathy","2021-07",111
"other_cardiomyopathy","2021-08",144
"other_cardiomyopathy","2021-09",145
"other_cardiomyopathy","2021-10",129
"other_cardiomyopathy","2021-11",184
"other_cardiomyopathy","2021-12",158
"other_cardiomyopathy","2022-01",131
"other_cardiomyopathy","2022-02",126
"other_cardiomyopathy","2022-03",127
"other_cardiomyopathy","2022-04",120
"other_cardiomyopathy","2022-05",125
"other_cardiomyopathy","2022-06",141
"other_cardiomyopathy","2022-07",129
"other_cardiomyopathy","2022-08",140
"other_cardiomyopathy","2022-09",141
"other_cardiomyopathy","2022-10",153
"other_cardiomyopathy","2022-11",163
"other_cardiomyopathy","2022-12",169
"other_cardiomyopathy","2023-01",171
"other_cardiomyopathy","2023-02",153
"other_cardiomyopathy","2023-03",161
"other_cardiomyopathy","2023-04",123
"other_cardiomyopathy","2023-05",88
"other_takotsubo","2016-07",6
"other_takotsubo","2016-08",2
"other_takotsubo","2016-09",3
"other_takotsubo","2016-10",1
"other_takotsubo","2016-11",4
"other_takotsubo","2016-12",3
"other_takotsubo","2017-01",4
"other_takotsubo","2017-02",5
"other_takotsubo","2017-03",10
"other_takotsubo","2017-04",7
"other_takotsubo","2017-05",8
"other_takotsubo","2017-06",9
"other_takotsubo","2017-07",4
"other_takotsubo","2017-08",7
"other_takotsubo","2017-09",7
"other_takotsubo","2017-10",4
"other_takotsubo","2017-11",3
"other_takotsubo","2017-12",8
"other_takotsubo","2018-01",7
"other_takotsubo","2018-02",6
"other_takotsubo","2018-03",7
"other_takotsubo","2018-04",6
"other_takotsubo","2018-05",8
"other_takotsubo","2018-06",3
"other_takotsubo","2018-07",8
"other_takotsubo","2018-08",10
"other_takotsubo","2018-09",8
"other_takotsubo","2018-10",9
"other_takotsubo","2018-11",11
"other_takotsubo","2018-12",5
"other_takotsubo","2019-01",9
"other_takotsubo","2019-02",6
"other_takotsubo","2019-03",10
"other_takotsubo","2019-04",4
"other_takotsubo","2019-05",8
"other_takotsubo","2019-06",12
"other_takotsubo","2019-07",9
"other_takotsubo","2019-08",8
"other_takotsubo","2019-09",10
"other_takotsubo","2019-10",7
"other_takotsubo","2019-11",8
"other_takotsubo","2019-12",8
