"group","month_yr","n"
"pericarditis","2018-03",2
"pericarditis","2018-04",1
"pericarditis","2018-05",5
"pericarditis","2018-06",4
"pericarditis","2018-07",3
"pericarditis","2018-08",3
"pericarditis","2018-09",2
"pericarditis","2018-10",5
"pericarditis","2018-11",2
"pericarditis","2018-12",2
"pericarditis","2019-01",4
"pericarditis","2019-02",3
"pericarditis","2019-03",1
"pericarditis","2019-06",4
"pericarditis","2019-08",1
"pericarditis","2019-09",3
"pericarditis","2019-10",2
"pericarditis","2019-11",8
"pericarditis","2019-12",5
"pericarditis","2020-01",3
"pericarditis","2020-02",3
"pericarditis","2020-03",3
"pericarditis","2020-04",5
"pericarditis","2020-05",5
"pericarditis","2020-06",7
"pericarditis","2020-07",8
"pericarditis","2020-08",3
"pericarditis","2020-09",3
"pericarditis","2020-10",3
"pericarditis","2020-11",1
"pericarditis","2020-12",3
"pericarditis","2021-01",6
"pericarditis","2021-02",5
"pericarditis","2021-03",4
"pericarditis","2021-04",6
"pericarditis","2021-05",4
"pericarditis","2021-06",3
"pericarditis","2021-07",3
"pericarditis","2021-08",5
"pericarditis","2021-09",3
"pericarditis","2021-10",7
"pericarditis","2021-11",5
"pericarditis","2021-12",3
"pericarditis","2022-01",4
"pericarditis","2022-02",3
"pericarditis","2022-03",8
"pericarditis","2022-04",5
"pericarditis","2022-06",5
"pericarditis","2022-07",5
"pericarditis","2022-08",8
"pericarditis","2022-09",6
"pericarditis","2022-10",11
"pericarditis","2022-11",3
"pericarditis","2022-12",3
"pericarditis","2023-01",5
"pericarditis","2023-02",5
"pericarditis","2023-03",4
"pericarditis","2023-04",4
"pericarditis","2023-05",3
